stemmed_and_stopword_translated_text,neg,neu,pos,compound,sentiment_label
yeastsemar tapera ukt issue expensive vina ruu siar issued close moment yes camouflage cover sister court,0.0,0.847,0.153,0.4019,positive
president bem intimidation friends scared teachers scared,0.585,0.204,0.211,-0.6705,negative
tan martheoperativelypayin ukt yaa snotuse shrizaljeemka hybrid jongdikit,0.0,1.0,0.0,0.0,neutral
andrewstjan see taxes even negative direction help country go,0.276,0.522,0.201,-0.25,negative
agusprasodjo xquitavee joewoli mypertaminaid stops suffering people ukt tapera bbm dkh yjsf j,0.32,0.68,0.0,-0.5719,negative
tanmm soundthe teacher ssound ukt nope,0.0,1.0,0.0,0.0,neutral
yes god kjmu liquid yes ifthesupposureofthestudent fails alreadypaythe food money uasprintal semester ukt dkijakarta sorry willhelp minsure,0.174,0.508,0.318,0.5267,positive
ukt tapera vina seundup hide agendas missed focus booommmm appears breaking child court uei,0.245,0.755,0.0,-0.4404,negative
kimberley p let talk dark days talking past,0.0,1.0,0.0,0.0,neutral
worksfess ukt extend smt tttp ganyampe jt si spp times hundred,0.0,0.714,0.286,0.3818,positive
yaniarsim ukt tapera attempt tapera issue pay paying mister handshake son bitch cut,0.422,0.578,0.0,-0.743,negative
jumianto rk denni sauya ppn ukt tapera country sucking people blood,0.0,1.0,0.0,0.0,neutral
god bsk reviewesessay uktpeople,0.0,0.588,0.412,0.2732,positive
richukticutherstangjem,0.0,1.0,0.0,0.0,neutral
sea current um fess btw kak pay ukt tuh yaa,0.135,0.865,0.0,-0.1027,negative
see arrange age limit go ukt brutal tapera,0.369,0.631,0.0,-0.6249,negative
kgblgninfaedh pantest salary jtp ukt goong,0.0,1.0,0.0,0.0,neutral
real dafa meini day khon,0.0,1.0,0.0,0.0,neutral
admissionfee jt tuition jt semester lecture remainsonlyyears weightn tneedthecost sit focusam think ukt,0.0,0.743,0.257,0.4215,positive
ukt smt waste,0.583,0.417,0.0,-0.4215,negative
sun rises limit easy lie,0.0,0.58,0.42,0.4404,positive
grandpa haircut pays ukt bang semester,0.0,1.0,0.0,0.0,neutral
panteslooking okt mrs,0.0,1.0,0.0,0.0,neutral
badcommen anju ismissing ig ig college sick dhdemocracy thepancasilasalacamp onlybethes ceremonial suckinguct,0.231,0.769,0.0,-0.5106,negative
drakxen passed pill got lace,0.0,1.0,0.0,0.0,neutral
fess number hearings pay,0.298,0.426,0.277,-0.0258,neutral
self reward handling admin pay ukt dll,0.139,0.495,0.366,0.5106,positive
collegemenfess wants pay late common dospen huhu moga chasing ga smt trial,0.113,0.887,0.0,-0.1027,negative
immediate reflection moral justification crowd relation ukt nvk r qyvm action,0.0,1.0,0.0,0.0,neutral
price vip paid semester gong,0.0,0.548,0.452,0.5106,positive
hamorable leonita viral like anighthero reject kaekang bananacannalon ketakter uctpreditionoffviral,0.205,0.606,0.189,-0.0516,negative
ukt chestk student transparency issue nw wwcjx,0.0,1.0,0.0,0.0,neutral
cheap psych escarpment,0.0,1.0,0.0,0.0,neutral
radioelshinta ball rioting girm garong robs sound pills robbing money ukt tapera adem bae brainpapakengusin ball,0.167,0.833,0.0,-0.4588,negative
ethadisasonjir sonancurini fail goldbelt tam tan indeed tobefree howtolead amoralhandle rich notpoor already,0.193,0.608,0.199,0.0258,neutral
cast sbusybuster sssilence silence silence silencesssuddenly thebassicbasicchildofthepredict forth prosident help brother shelpyou people speople idiot shelp,0.165,0.7,0.135,-0.1531,negative
since graduated much looking job looking money paying laptop,0.0,1.0,0.0,0.0,neutral
segyeongstar song hasyi pay ukt please go wxhkfn hro,0.131,0.654,0.215,0.2263,positive
az xflmvt serpensionfessneedsaperressit people sdependent afterpassing tonot pay ukt,0.149,0.851,0.0,-0.1027,negative
ukt stomach student loan support v xs xkc,0.0,0.69,0.31,0.4019,positive
collegemenfess pre congregation sempro pay semhas script hearing pay product graduation pay ukt smt street script pay,0.301,0.699,0.0,-0.3818,negative
ireeclaire kegblgnanfaedh dad reclaire gatgbgnunfaedh dad reassempleand commandfarefade upgraduate sthepointof thefuelprogram,0.0,1.0,0.0,0.0,neutral
advantageous delay world decaying national assets c mj hf vy,0.352,0.352,0.296,-0.2023,negative
collegemenfess udh entered rich ukt,0.0,0.526,0.474,0.5574,positive
helbyjorupsicardsthatpressnot clean landmalisreallybusive nusaresin ukt taperafreeport escaped huahauahahahahahahaha greatthing playfamily,0.0,0.769,0.231,0.4019,positive
fateofthe studentpreservedback payout uktrekarelim kimbjtjeomtribunnews,0.0,1.0,0.0,0.0,neutral
open send self test utul uktukt poltkes utk snbt spp form list pay graduation health tests via mbanking bni mp livin self bweased yaaah ui ui kamak ui unj unn veteran uny unsri ui itb unb unbraw private penmaba,0.036,0.964,0.0,-0.1027,negative
astraljongseongpayin uktkuyes,0.0,1.0,0.0,0.0,neutral
imyourgab bastordvn help mother know pay utt unsoed,0.139,0.594,0.267,0.3182,positive
main factoryes yes pocalypse yes bless atoneafterpayinga semesteralso,0.0,0.379,0.621,0.802,positive
commit commitment command problem solution went ukt utt college fees mister students f xhwnmkvg,0.144,0.479,0.378,0.5267,positive
warrlfesakwwwwwwwwwwww vemissedformoney ukthetbankwork minandwalllet butcan treback thelinktbountires hard whenskip simpen hahahaha,0.123,0.877,0.0,-0.1027,negative
white sand see mountain debt pays interest,0.238,0.476,0.286,0.128,positive
exit poll axis india aajtak ndi oth c voter abp nda ndia tdia dah india oh chanakya oda india others,0.0,1.0,0.0,0.0,neutral
please try plagiarize concept name owe ukt hehe,0.0,0.753,0.247,0.3182,positive
country cm highlight pay cut money weak,0.542,0.254,0.203,-0.4588,negative
compasscom halaaah preeeetttt nailtips people believe issue tapera covered geria yesterday issue closed,0.0,1.0,0.0,0.0,neutral
millithh open batch nom vision mission batch random world ub nom,0.0,0.833,0.167,0.25,positive
ubmsukmorganizations suitable avoidfomo imajoyfriendsjustdon tmiss college hahahahaha ukt,0.0,1.0,0.0,0.0,neutral
sentirely seriously yes yes go college yes,0.133,0.234,0.633,0.7506,positive
segyeongstar ham hwaram ukt please go pedodqdyr,0.0,0.723,0.277,0.3182,positive
kang kang kang kangang kangangangdo good good catangangangangangang good kangangangangdo basur,0.0,0.479,0.521,0.8271,positive
cm guys students uin jakarta udh pass free udh udh kah kak kaki igi ng sung judisium trial yes moon ya,0.0,0.76,0.24,0.7184,positive
like get honestly take care writing take care hopeless successful graduation august pay bills,0.162,0.258,0.579,0.9062,positive
said support education people know raise people school,0.0,0.722,0.278,0.4019,positive
ness schedule open ut ungsur ya,0.0,1.0,0.0,0.0,neutral
let pay,0.583,0.417,0.0,-0.1027,negative
public dumber thinks expensive taxing difficult facility takes lot gin,0.385,0.615,0.0,-0.6124,negative
actually going cell knowing price crazy pay set break factory knowing starting freak matter,0.376,0.562,0.062,-0.6808,negative
askrl unimed please utt cost difficult facility,0.255,0.51,0.235,-0.0516,negative
drakkxenrender ukt yagod,0.0,1.0,0.0,0.0,neutral
spare money come know registration date general even know going graduate,0.0,1.0,0.0,0.0,neutral
wise escort democrat cancels ukt bramantyo suwondo masbramantyo member dpr ri fraction damengocrat wflghf cq,0.106,0.722,0.172,0.296,positive
play schedule ukt tapera densus gold antam mk syl surli kpk vina cirebon etc sick bronri bright sonkapotancasila ijrq,0.134,0.65,0.215,0.25,positive
ask ukt tapera said country state crisis many people believe,0.313,0.687,0.0,-0.6249,negative
unsoedfass hangs judeium august done need pay ukt cmiiw,0.149,0.851,0.0,-0.1027,negative
love wife andrewstjan miserable end people rob ukt tapera,0.4,0.353,0.247,-0.3818,negative
dearestnanon uh met guy,0.0,1.0,0.0,0.0,neutral
andrewstjan finish rest weird dad talk freeport country people like rob ukt tapera,0.298,0.562,0.14,-0.4215,negative
kidpawk kohcanimulate ukt graduation,0.0,1.0,0.0,0.0,neutral
tvcoupsthinker pay uktbifep deadkoreanyes dyt,0.259,0.741,0.0,-0.1027,negative
tax tapera free press ruu healthy constitution compromised corrupted les corruption,0.0,0.6,0.4,0.7184,positive
frequentlyaskedthatboy graduation kip descendnot,0.0,1.0,0.0,0.0,neutral
eaannh chavesz yesrequiressthesilentpapua remensealcognition believe peoplehavelike ukt tapera hitumboc uumboc kka,0.0,1.0,0.0,0.0,neutral
random ken school pay ukt,0.259,0.741,0.0,-0.1027,negative
collegemenfess gaada perfect script nder gass congregation list instead paying ukt hikd,0.0,0.748,0.252,0.5719,positive
jumianto rk costs rice concussion bansos command nurunin homk sense electricity tapera ukt year neighboring country flood trillion investor apple microsoft investors dpd orders,0.0,1.0,0.0,0.0,neutral
healcom obsession x mit hook ukt university riau go mei institutions work social service programs around edge life go jalin,0.118,0.882,0.0,-0.34,negative
pns ababil gapapa min tapera cut thp child college ukt count total cuts,0.281,0.719,0.0,-0.5106,negative
soonsevenweekshavebeenmet sundaynight letthe spiritofwork acarelessstate withgjangdogsswise outupped tapera mwettt dcsmcylw mcylw,0.0,1.0,0.0,0.0,neutral
mightyroom alreadybought tukt tukukt ukt tukt,0.0,1.0,0.0,0.0,neutral
ernestpremonious plus ukt nullified owi ruu ni army sat civil handshake ruu pollri police sabotage authority deserves civil coalition road,0.15,0.793,0.057,-0.4767,negative
weekend still concerned education commodity says needs tersier matter poor people cry poor people go college,0.415,0.536,0.049,-0.8481,negative
exercising action demonstration state juni palace reject tapera rejects expensive crisukt program sound nfjntf lo,0.306,0.622,0.073,-0.6705,negative
making donation friend tell think help pay college graduation,0.105,0.451,0.444,0.6705,positive
note students archives scholarships scholarship dos go brave,0.0,0.673,0.327,0.5267,positive
avilehurt mmmm cannotpay ukt jt semester ingyeahtalkingnormal kgk aboutthefuluanwoeng anomaly,0.0,0.826,0.174,0.2263,positive
like demo,0.0,0.286,0.714,0.3612,positive
collegemenfess aamiin pls pay ukt fast track aka year roar,0.131,0.748,0.121,-0.0258,neutral
secondcom minority race disbanded worship forbids building church,0.219,0.571,0.21,-0.0258,neutral
friend college pledges court martialed evidence pay minimum amount money,0.111,0.635,0.254,0.4215,positive
tempodotco kakt pattern yesterday people slow bae plan,0.0,1.0,0.0,0.0,neutral
thanks wifi stope ui uas fine form alir dana ukt pay,0.099,0.567,0.333,0.5106,positive
um fess pas pay okta,0.259,0.741,0.0,-0.1027,negative
collegemenfass enjoy pas jobseeker thinking paying ukwkwkkwwwww,0.0,0.652,0.348,0.4939,positive
collegemenfess good team desperate pay ukt,0.385,0.312,0.302,0.0516,positive
hello sorry yaa naka um aju cicil ukt yaa,0.14,0.86,0.0,-0.0772,negative
kikysa daughteri info buzzer locker pays okt,0.0,1.0,0.0,0.0,neutral
department pays ukt hmmm,0.0,1.0,0.0,0.0,neutral
please make parents money useless pay,0.442,0.316,0.242,-0.2263,negative
maghrib seal sad purely pure taking semester working scientific research regular position ukt pay cont,0.257,0.743,0.0,-0.5423,negative
majajanjanyaafterpaid uktress retryingtofindaparttime yes nottogetthemonth,0.0,0.597,0.403,0.4019,positive
expensive ukt corruption gold lead etc tapera age limit pikkada unbuttons goods country tapera anymore,0.0,1.0,0.0,0.0,neutral
un medididibud mane signed aniesbasweand climbed ukt blog,0.0,1.0,0.0,0.0,neutral
kepo ukt ui crazy college,0.375,0.625,0.0,-0.34,negative
tired collecting photoscards,0.592,0.408,0.0,-0.4404,negative
let get serious art tomorrow teenagers reach art life sharing,0.107,0.574,0.32,0.3818,positive
meananwhile fak give attachment slip evidence payment ukt k,0.0,0.761,0.239,0.296,positive
bjirformaspiration ukt feb nantuntmin ig private trustsue yesterdayimao,0.0,1.0,0.0,0.0,neutral
forget news tapera indiscriminate canceled,0.322,0.678,0.0,-0.2263,negative
sterrynghtxthanks fo ukt jt jt oh goodness moneywakesterrible,0.0,0.424,0.576,0.7003,positive
mothboy versus pharmacist pharmaciescape facility notat uktbas millionthud college nextto toll anyway,0.0,1.0,0.0,0.0,neutral
unnesmenfessfhyes brou uhkekkekgan discussedthe matter notso student yes yes yes yes yes yes yet,0.0,0.288,0.712,0.936,positive
ukt relay controversy accessibility education indonesia bhvnpnzulz,0.0,1.0,0.0,0.0,neutral
caratkids chelastial ukt aj yet diem aj,0.0,1.0,0.0,0.0,neutral
get full scholarship graduation get name get top get high score pick one needs get,0.0,0.886,0.114,0.2023,positive
oh mypaying ukt,0.0,1.0,0.0,0.0,neutral
ukt ret controversy accessibility education indonesia qmufqicnv,0.0,1.0,0.0,0.0,neutral
pc kakt semster price,0.0,1.0,0.0,0.0,neutral
exercising action demo state palace reject tapera rejects expensive krist ukt program sound kr vxpc kr vxpccc,0.282,0.718,0.0,-0.7096,negative
followersghuwe sma takependgraderpsychologistdreamingyou untilthebloodendsin ugmuhlongrun getslowsofsteepspans,0.0,1.0,0.0,0.0,neutral
papipippum essence religious ormas community given really expensive project,0.0,1.0,0.0,0.0,neutral
sbyudhoyono broke ethics anything anything anything,0.359,0.641,0.0,-0.4215,negative
compasstv command failed malak student ukt try change stray employee tapera,0.248,0.752,0.0,-0.5106,negative
yes ukt tapera gold antam next,0.0,0.649,0.351,0.4019,positive
eating noh ukt college country range cost expensive science magnifier program remember much,0.0,1.0,0.0,0.0,neutral
indonesia got prank ukt tapera xsl vvr,0.0,1.0,0.0,0.0,neutral
airen shirt college college college school ukri ukt wektoh ndjadtwsn alothxlfe,0.0,1.0,0.0,0.0,neutral
cococrunchys superior accreditation free list costs free,0.0,0.284,0.716,0.8779,positive
ugm fess july pay ukt like july let wosuda agustus,0.118,0.672,0.21,0.2732,positive
wise makes sense study loan ukt broke tapera etc,0.217,0.543,0.24,0.0772,positive
work risahart jonowi ho oh story pay cut take underpaid lha kq good let people lend credit yesterday house forced tapera crazy,0.293,0.526,0.181,-0.34,negative
korean stripe tshirt campus shirt ukt college sw tw qm hgio zqrkdkigca,0.0,1.0,0.0,0.0,neutral
unybaseerr spirit rrrrr guilkgaapa gapapapapapa koa excitatethe spirit process ukt sem,0.0,0.726,0.274,0.34,positive
exercising action demonstration state juni palace reject tapera rejects expensive k zzksloff program,0.362,0.552,0.086,-0.6705,negative
busillah june god please kabulo suct,0.0,0.476,0.524,0.5267,positive
marimar auw lectures cheap compared price things pay tuition semester price chicken noodle bowls tua chicken noodle bowls,0.076,0.924,0.0,-0.1027,negative
mas icinggg vip paying ukt guaa semester include tax,0.0,0.708,0.292,0.5106,positive
gojishad ector problemic ukt money base,0.0,1.0,0.0,0.0,neutral
price rice increases price cooking oil price cooking oil incremented iur tapera,0.0,1.0,0.0,0.0,neutral
waccis ukt tapera okaygas,0.0,1.0,0.0,0.0,neutral
collegemenfess trial list juni junli timeline prodii moga pay ukt,0.135,0.865,0.0,-0.1027,negative
archifstudy paid ukt poltokes,0.0,1.0,0.0,0.0,neutral
aellastudy received polteses well paid ukt,0.0,0.704,0.296,0.2732,positive
already info installed student ukt dips g info,0.0,1.0,0.0,0.0,neutral
jogmfs masio throws opinion,0.0,1.0,0.0,0.0,neutral
royalegembox mohmahfudmd jogetin okgas silent noise okgas shame ukt corruption rajalela shake hostage mukibul family sought people work give bansos tapera suffering people,0.283,0.717,0.0,-0.7845,negative
cattenif late paycill ukt length notyes,0.0,1.0,0.0,0.0,neutral
jungwongitis tkek high ukt sasing,0.0,1.0,0.0,0.0,neutral
rjn zjuly dh finished august showing pamphlets pay ukt,0.149,0.851,0.0,-0.1027,negative
collegemenfess trial juni ukt keep paying,0.0,1.0,0.0,0.0,neutral
exercising action demo state palace reject tapera rejects expensive krist ukt program sound tapera helps home community consider burden potential loss ipbr gfph wl,0.339,0.581,0.08,-0.8176,negative
ugm fess type likes bolo lecture bolos ukt exteges ukt excess,0.0,0.781,0.219,0.4215,positive
havethi luvmifyworksfess plus ukt,0.0,1.0,0.0,0.0,neutral
bad mother position pregnant make bed lipet tres kick,0.304,0.696,0.0,-0.5423,negative
note ali drevachaniago ukt nai sleep student,0.0,1.0,0.0,0.0,neutral
slapped money ukt maxa tapera,0.0,1.0,0.0,0.0,neutral
ipb fess ukt vocita golong goong cicil rebox ukt goong ukt custom nominal,0.0,1.0,0.0,0.0,neutral
timeline mention revision uu pollri ukt,0.0,1.0,0.0,0.0,neutral
going told bring bekel,0.0,1.0,0.0,0.0,neutral
rjn z know much mean august last month pay august last month already paid text front text,0.085,0.915,0.0,-0.1027,negative
buta kapiryes enteringhell,0.0,1.0,0.0,0.0,neutral
yes moga uktreallydown,0.0,0.426,0.574,0.4019,positive
portal care ukt semester odd semester even salutations prosper care ukt present fellow welfare ipb kesmate link list ec aorzflp period juni juni axclkd zqb list,0.073,0.726,0.202,0.6249,positive
seethepeople sfamily diem justlikenottobeinjured,0.0,1.0,0.0,0.0,neutral
humanswholistedthesunweekssupposed trepirest gassedup theturnitincheck forcetill max dosadosbing payacukkjekdosbing acckkakwkkk,0.0,1.0,0.0,0.0,neutral
country state end period uh came taperas passwords,0.0,1.0,0.0,0.0,neutral
segyeongstar moon seungho pay ukt please go ns gg,0.118,0.504,0.378,0.4767,positive
sbmptnfess escaped snbt pill amp got low healthy ukt take care,0.131,0.5,0.369,0.5859,positive
segyeongstar jo haewon pay ukt please go mmaryfwtnm,0.144,0.619,0.237,0.2263,positive
see semester ukt costs undana ready tube qnefw pd,0.0,0.762,0.238,0.3612,positive
notulenjamet matter much pay looking friend,0.161,0.345,0.494,0.4404,positive
dukcapilddadamdelem alem ayem dupiddcapildaldadam alreadyaldem ayem alfut energy il il ton court ipg sorm digak,0.0,0.87,0.13,0.2732,positive
segyeongstar ji seokhoon pay ukt please go ftoxvz zdj,0.131,0.654,0.215,0.2263,positive
effect ukt youngyearstudent workslowlyworksundependent married punselvesof badconceivedcontator defaultandthe rice demospackure etc j nnl umvh nvh,0.0,1.0,0.0,0.0,neutral
questionrl livin jrg eror pay ukt college,0.189,0.811,0.0,-0.1027,negative
escaped snbt ukt jutsu million seventeen pro palestine,0.0,1.0,0.0,0.0,neutral
expensive go college,0.0,1.0,0.0,0.0,neutral
dxnldy convomf thinks dick pantes rich cocatot social sanction life olds people need pay study fee need primary,0.202,0.644,0.155,-0.0258,neutral
send va pay ukt nnqj ac,0.219,0.781,0.0,-0.1027,negative
sad see news indonesia forest people mean crazy people,0.44,0.56,0.0,-0.6705,negative
one forced court go semester old let pay dosbing acc,0.355,0.645,0.0,-0.5267,negative
undp ukt spi student base money line pxdnc coql,0.0,1.0,0.0,0.0,neutral
ready chicken bones making country poor take care debt,0.344,0.307,0.35,0.0258,neutral
education requires tersier iq stagnant evidence,0.0,1.0,0.0,0.0,neutral
myname prabowo propaganda ndons back garagedo florieliciouss kimberleys ps zy zy irarangrommi darekarendy bank joee people going political power baboons take evidence ukbert millions people loud voices medsos going ukt,0.065,0.935,0.0,-0.25,negative
morning sisterchat congratulate congratulation good goodboy looohhhhhhhhh,0.0,0.286,0.714,0.875,positive
collegemenfess mending gas returning pay script changing seleese world,0.149,0.851,0.0,-0.1027,negative
segyeongstar yoo miran pay ukt please go l jm pwgzm,0.131,0.654,0.215,0.2263,positive
collegemenfess finishedbysess easilydoting proudwork semplencturesgoodscriptionsfinished let slistthe trial letnot pay anymore,0.123,0.877,0.0,-0.1027,negative
vote nurunin ukt self reliance list already promised get goal sister go college get ukt goal dad retired according website option dropped college,0.0,0.898,0.102,0.3612,positive
even go college good gangster many demo students shake,0.147,0.603,0.25,0.296,positive
lix lee buset price race ukt lu,0.0,1.0,0.0,0.0,neutral
bismillahmogagetdown uktya god izxcxxfo ev,0.0,0.656,0.344,0.2732,positive
graduation like full card really college,0.0,0.667,0.333,0.3612,positive
collegemenfess gapaa nder pay ukt teaching material lgg hihi,0.149,0.851,0.0,-0.1027,negative
ukt tapera freeport jockeyi ok gas ok gas,0.0,0.577,0.423,0.5267,positive
anjayy burdenpay ukt ku typo yes bodnyquqbd,0.0,0.69,0.31,0.4019,positive
segyeongstar bae sejeong pay ukt please go hdkkkkguh,0.144,0.619,0.237,0.2263,positive
world believe next day loud critical issue tapera ukt gasoline,0.204,0.796,0.0,-0.3182,negative
segyeongstar ji doha pay ukt please go gevaoaazoh,0.144,0.619,0.237,0.2263,positive
fess taken lightly,0.0,1.0,0.0,0.0,neutral
ifanjir dirtdudedup butpaydudessssssalt payprice richthintheterm snotalready salready silent,0.0,1.0,0.0,0.0,neutral
anjir findmoney wheretopaythecost ukt,0.0,1.0,0.0,0.0,neutral
start qualification polling fee,0.0,1.0,0.0,0.0,neutral
sbyudhoyono countrysby restless iur tapera ukt set healthy bpjs revision uu tni etc,0.133,0.696,0.171,0.1531,positive
great ukt expensiveschool taruna bmkgcosfreezzatsxe,0.0,0.494,0.506,0.6249,positive
confused country anjir papua ukt tapera age limit,0.247,0.753,0.0,-0.3182,negative
collegemenfess strong pass tell even motivated spirit hehe,0.0,0.385,0.615,0.7906,positive
last time worked building small student middle scholarship,0.0,1.0,0.0,0.0,neutral
ardisatrian ukt tapera bansos service house lost gold entam jan ethes ken president silah addin,0.141,0.859,0.0,-0.3182,negative
boiling saw wisdom tapera plan go dzolim god dzolim,0.0,0.56,0.44,0.6705,positive
ukt nuk naek naek naek kak college lecture need terksier gbole pinter fight iy scared dpr lg kaw change age made jeonghani dinoi fun,0.185,0.705,0.111,-0.296,negative
english school andrewstjan free german school using ukt system,0.0,0.708,0.292,0.5106,positive
wattpadmenfess deserted mannder author needs money sugar oil worth money uttt cost money,0.0,0.863,0.137,0.2263,positive
ifyoudon tlikeme sindir ion casiumbones tofubusted ifyou tlikeme solet ionscalc know togetbusium ifyou iftimesoon ifsoon ifsoon ifsoon,0.0,1.0,0.0,0.0,neutral
gxblazt pays ukt,0.0,1.0,0.0,0.0,neutral
collegemenfess unethical please keep spirit motivated late graduation pay ukt msh dosbing salary snooty,0.227,0.435,0.338,0.3182,positive
let make noise ukt tapera ealahhh,0.0,1.0,0.0,0.0,neutral
abullmuzafhar expensivegmentspadinggatinghelp student ukt,0.0,1.0,0.0,0.0,neutral
starfess jtincludettax peh ktkuh h dingyicilpay ukt,0.0,1.0,0.0,0.0,neutral
prabowo ukt attitude student ptn kp hhq qwc,0.0,1.0,0.0,0.0,neutral
question bri bwt jack self pay ukt,0.189,0.811,0.0,-0.1027,negative
nakula boy rt busy thinking ukt,0.0,1.0,0.0,0.0,neutral
self reward labor pay ukt,0.173,0.37,0.457,0.5106,positive
ljnomine yesh kak really tired people opening eyes state mad,0.444,0.556,0.0,-0.7501,negative
prabowo subianto attitude ukt student ptn ufechqecu,0.0,1.0,0.0,0.0,neutral
tev n pe el style crowd functioning strongly set law ppn done bpjs done ukt fail tapera ppn,0.17,0.728,0.102,-0.34,negative
getting away hard,0.412,0.588,0.0,-0.1027,negative
commandfallsuppose trs tapera ifyou refaint ifyou regoingupthetaxstoppligate yes letthe capitalprescribe yesterday,0.0,0.787,0.213,0.4019,positive
simbok dharmi honor takestherecordra worldeatsfree seebasiki moeldoko bu sm news expensive bu sm duli sm duli student,0.0,0.833,0.167,0.4939,positive
ugm fess spirit yes nder moga good idea rame rame rame power nder let go ukt ugm issue run healthy parents assets nominal,0.0,0.606,0.394,0.8658,positive
nadtrium km slow rose ukt km,0.0,1.0,0.0,0.0,neutral
also got college students work pay college work first,0.149,0.851,0.0,-0.1027,negative
fact afraid students cm scared go back graduation age labor college program free destroy students,0.295,0.553,0.152,-0.4767,negative
willing pursue ptn let ukt cheap eh ukt talk yupien pls follow ljcrikhxo,0.0,0.902,0.098,0.0772,positive
collegemenfess graduations pay script test already incl ukt btw ak private,0.123,0.877,0.0,-0.1027,negative
pancakeflusj bill line snbp snbp tstep ukt,0.0,1.0,0.0,0.0,neutral
damn right necklace,0.574,0.426,0.0,-0.4019,negative
,,,,,neutral
mute talked muhammad lewis sakaton talk genocide,0.0,1.0,0.0,0.0,neutral
students paid dinner outside paid ukt,0.0,1.0,0.0,0.0,neutral
surprised get scholarship presidentship got rank,0.0,0.725,0.275,0.2263,positive
selffess ukt kyini howmyaspe jt,0.0,0.678,0.322,0.2263,positive
ukt main base costable,0.0,1.0,0.0,0.0,neutral
disrupt people ukt tapera student loan mine ormas break youngest son forward pilkada,0.0,1.0,0.0,0.0,neutral
e nunik cordova media demo ukt,0.0,1.0,0.0,0.0,neutral
collegemenfess uin free pay utt doang,0.161,0.46,0.379,0.4404,positive
different ukt spp mandatory student bcpjcuniw,0.0,0.794,0.206,0.0772,positive
jiminzgirl unnesmenfess cmn near pay okt,0.219,0.781,0.0,-0.1027,negative
unnesmenfess eh already light ot smt oddly,0.0,1.0,0.0,0.0,neutral
wewzer drunn nanarlfes enjoy moment ukt tapera ppn electric bbm etc,0.0,0.758,0.242,0.4939,positive
tham set batman using important orders poor people pass yes expensive ukt burden tapera,0.293,0.488,0.22,-0.3612,negative
free collegemenfess paid graduation get toga year ago toga buy college loan pay,0.089,0.701,0.21,0.4404,positive
ness refuse pay safe pay high goals,0.459,0.275,0.266,-0.0258,neutral
let sdo pay oktunjainscription dropoffan account yach boleecheckpackspackspackpassspass sure sent setsupwimiah stop ychhzonezonezonezonebu,0.226,0.629,0.145,-0.0772,negative
geloraco ukt tapera,0.0,1.0,0.0,0.0,neutral
ukt yaa,0.0,1.0,0.0,0.0,neutral
sbmptnfess escaped snbt pill daful smooth ukt according capable full nadzar,0.0,0.794,0.206,0.3818,positive
ernestpremonious thank ukt tapera ton gold eh know escaped age limit cawagub,0.0,0.815,0.185,0.3612,positive
believe um gon na pay students use earth produce clearly chancellor paid okt money via seconds edu ugbanb,0.07,0.796,0.134,0.3182,positive
fun see demo ukt core,0.0,0.548,0.452,0.5106,positive
expensive go college practice plagiarism based education nation best interest,0.0,0.526,0.474,0.802,positive
ardisatrian ojol partner mam mister ukt,0.0,1.0,0.0,0.0,neutral
sbmptnfuss semptnoss stnfass aj gacape,0.0,1.0,0.0,0.0,neutral
hard nurunin turnitin nurunin ukt college indo,0.189,0.811,0.0,-0.1027,negative
slapa friendnotoveryes controlra ukt wisedeak,0.0,1.0,0.0,0.0,neutral
driver geloraco shoot right real bozz apocalyptic evidence driver hero ukt,0.37,0.435,0.196,-0.4939,negative
ukt mbokya printilan printilan lecture free executionoffiltualmoneysappro semhas etc,0.0,0.708,0.292,0.5106,positive
jt kakt mending dp home ga si,0.0,0.759,0.241,0.2263,positive
surrounding office prabowo imbas cost complete ukt yq omn counterhoax turnbackhoax mafindo,0.0,1.0,0.0,0.0,neutral
usu surround office prabowo imbas big ukt upload video account youtube claim university student sumatra north ejkwvyjywj,0.0,1.0,0.0,0.0,neutral
friends let regime roll roll amp goes brrr,0.0,0.693,0.307,0.4767,positive
hold right ukt k lwuf nza,0.0,1.0,0.0,0.0,neutral
gang neighbor whispers hard explain program free lunch program,0.12,0.598,0.282,0.4404,positive
jangsuman toukt gt gasih,0.0,0.588,0.412,0.2732,positive
tempodotco weak student focus weak utt ut labor focus breaking high court understands pole labor student,0.293,0.707,0.0,-0.7003,negative
student neohistoria id currently busy demoting crazy ukt,0.255,0.745,0.0,-0.34,negative
gardododo florieliciouss myname across country mirvandarwin kimberley ps yusufagro xquitavee effendisary uki nagih promise makes hard people cut tapera haji use animal life,0.136,0.775,0.089,-0.0516,negative
weak studentoverfocus focusedup uktweak laborer focusreraterend extended extreme high court understandsthestudentsof labor,0.209,0.791,0.0,-0.4404,negative
minimum goal ukt,0.0,1.0,0.0,0.0,neutral
timing triggers make fuss like unlikely rioting elite streets elite issue,0.0,0.8,0.2,0.3612,positive
fhisip neveralonely tapera ukt fox break age pilkada losss boss except ukt pending doak,0.0,1.0,0.0,0.0,neutral
reallywhosaid laptop damaged driedfrom jrrr lookslikeskskskskskskskkkkkkkkkkkkkkkkkok sah sah yest well shh udh,0.193,0.667,0.14,-0.2023,negative
came home yesterday solo saying pay date super duper common month limit inches week says ya yaudah pay veh pdahl fear yelled,0.215,0.645,0.14,-0.0258,neutral
